,data,valor_combustiveis
2,2015-09-02,2.6662002
3,2015-12-02,3.0504816
4,2015-08-04,2.7545195
5,2015-11-05,2.9257216
6,2015-10-06,2.8633707
7,2015-07-07,2.7691407
8,2015-12-08,3.1616666
9,2015-09-09,2.6456914
10,2015-12-09,3.029317
11,2015-11-10,3.0124075
12,2015-08-11,2.7285907
13,2015-10-13,2.824
14,2015-10-14,2.89425
15,2015-07-15,2.752676
16,2015-09-15,2.6446457
17,2015-12-15,3.0052793
18,2015-11-18,3.0319047
19,2015-10-20,2.882229
20,2015-07-21,2.7553618
21,2015-10-21,2.824
22,2015-12-21,3.1334445
23,2015-09-22,2.6253488
24,2015-09-23,2.6861842
25,2015-12-23,3.022143
26,2015-11-24,3.0038643
27,2015-08-25,2.6253736
28,2015-10-27,2.917171
29,2015-12-28,3.0163827
30,2015-07-29,2.7614923
31,2015-09-30,2.6645
32,2015-12-30,3.04375
0,2016-11-01,3.1156104
1,2016-08-02,2.9982
2,2016-10-03,3.0650337
3,2016-11-03,3.109
4,2016-08-04,3.242
5,2016-07-05,3.0196874
6,2016-09-05,3.0513456
7,2016-07-06,3.0379584
8,2016-09-06,2.8323333
9,2016-12-06,3.1456623
10,2016-12-07,3.085
11,2016-08-09,3.0474374
12,2016-10-10,3.0377562
13,2016-11-10,3.1695294
14,2016-07-11,2.99925
15,2016-10-11,3.1936665
16,2016-09-14,3.009611
17,2016-12-14,3.1909525
18,2016-12-15,3.149
19,2016-08-16,3.1523333
20,2016-11-16,3.103642
21,2016-08-17,3.0221205
22,2016-10-18,3.1108334
23,2016-07-19,3.030218
24,2016-12-19,3.1438143
25,2016-09-20,2.9254875
26,2016-12-20,3.2983751
27,2016-07-21,3.1990001
28,2016-12-21,3.1920002
29,2016-08-22,3.0097682
30,2016-11-23,3.132475
31,2016-07-25,3.016209
32,2016-10-25,3.2318
33,2016-10-26,3.1552815
34,2016-10-27,3.059
35,2016-12-27,3.2033494
36,2016-09-28,3.0290844
37,2016-12-28,3.26925
38,2016-11-30,3.1631362
39,2016-08-31,3.0186446
0,2012-03-01,2.405564
1,2012-05-01,2.4699566
2,2012-01-02,2.3153315
3,2012-05-02,2.2886
4,2012-01-03,2.4605868
5,2012-04-03,2.2998023
6,2012-04-04,2.464338
7,2012-06-05,2.3452213
8,2012-03-06,2.2677212
9,2012-06-06,2.3465035
10,2012-02-07,2.339115
11,2012-03-07,2.4775076
12,2012-02-08,2.3423333
13,2012-05-08,2.3271713
14,2012-01-09,2.4738789
15,2012-05-09,2.3853822
16,2012-01-10,2.3038297
17,2012-04-10,2.3714395
18,2012-04-11,2.299
19,2012-06-12,2.3292942
20,2012-03-13,2.0763333
21,2012-06-13,2.389
22,2012-02-14,2.3346758
23,2012-03-14,2.2323332
24,2012-05-14,2.28896
25,2012-06-14,2.3076866
26,2012-03-15,2.3614042
27,2012-05-15,2.2905302
28,2012-01-16,2.3343
29,2012-04-16,2.5401819
30,2012-05-16,2.462627
31,2012-04-17,2.3201854
32,2012-01-18,2.3801985
33,2012-01-19,2.3820665
34,2012-03-19,2.3623157
35,2012-06-19,2.358741
36,2012-02-20,2.2478182
37,2012-03-20,2.3013046
38,2012-03-21,2.6234999
39,2012-05-21,2.2950225
40,2012-06-21,2.2888
41,2012-02-22,2.2936556
42,2012-01-23,2.3143682
43,2012-02-23,2.372204
44,2012-05-23,2.399783
45,2012-01-24,2.3663876
46,2012-04-24,2.347984
47,2012-05-24,2.3588
48,2012-01-25,2.2575161
49,2012-06-26,2.4337273
50,2012-02-27,2.2478182
51,2012-03-27,2.1615
52,2012-06-27,2.2746098
53,2012-03-28,2.2919888
54,2012-05-28,2.4632382
55,2012-02-29,2.3154
56,2012-03-29,2.3841808
57,2012-05-29,2.3001695
58,2012-01-30,2.3954487
59,2012-01-31,2.2991338
0,2012-08-01,2.3549051
1,2012-08-02,2.3162124
2,2012-10-02,2.3254876
3,2012-09-03,2.3435516
4,2012-10-03,2.247397
5,2012-12-03,2.3823047
6,2012-07-04,2.3419902
7,2012-09-04,2.2729166
8,2012-07-05,2.2989998
9,2012-11-05,2.384425
10,2012-09-06,2.3601584
11,2012-11-06,2.3639998
12,2012-08-07,2.271132
13,2012-08-08,2.3180196
14,2012-10-08,2.3682728
15,2012-07-09,2.3233078
16,2012-10-09,2.3655
17,2012-07-10,2.2636666
18,2012-12-10,2.302325
19,2012-12-11,2.3242655
20,2012-07-12,2.292725
21,2012-09-12,2.2999945
22,2012-12-12,2.2489998
23,2012-08-13,2.368157
24,2012-09-13,2.4137607
25,2012-11-13,2.3136432
26,2012-08-14,2.2674444
27,2012-08-15,2.3096666
28,2012-10-15,2.303968
29,2012-07-16,2.357214
30,2012-10-16,2.3005297
31,2012-07-17,2.368507
32,2012-12-17,2.3776343
33,2012-09-19,2.3172941
34,2012-08-20,2.303672
35,2012-11-20,2.37353
36,2012-08-22,2.3676066
37,2012-11-22,2.380597
38,2012-07-23,2.3084936
39,2012-10-23,2.3679771
40,2012-07-24,2.2458334
41,2012-10-24,2.392093
42,2012-12-24,2.3272133
43,2012-09-25,2.3652499
44,2012-10-25,2.4086287
45,2012-07-26,2.2959998
46,2012-09-26,2.3345652
47,2012-11-26,2.3032413
48,2012-12-26,2.325
49,2012-08-27,2.4616904
50,2012-08-28,2.3312747
51,2012-08-29,2.317628
52,2012-07-30,2.2482858
53,2012-08-30,2.3136268
54,2012-10-30,2.3092635
55,2012-07-31,2.4333751
56,2012-12-31,2.390708
0,2015-04-01,2.7779958
1,2015-06-01,2.6982858
2,2015-06-02,2.8062973
3,2015-03-03,2.7632763
4,2015-06-03,2.9267778
5,2015-02-04,2.7609482
6,2015-03-04,2.8104537
7,2015-01-05,2.414
8,2015-05-05,2.819631
9,2015-01-06,2.5453198
10,2015-05-06,2.693913
11,2015-01-07,2.484
12,2015-04-08,2.7840457
13,2015-06-09,2.7942307
14,2015-02-11,2.7643719
15,2015-03-11,2.8194568
16,2015-05-12,2.8283722
17,2015-01-13,2.4773104
18,2015-05-13,2.7326758
19,2015-01-14,2.5463226
20,2015-02-16,2.7948663
21,2015-04-16,2.833404
22,2015-06-16,2.7953064
23,2015-03-17,2.7958388
24,2015-02-18,2.7024112
25,2015-03-18,2.7741795
26,2015-01-20,2.449
27,2015-05-20,2.7634094
28,2015-01-21,2.5519593
29,2015-05-21,2.8603222
30,2015-04-23,2.8323948
31,2015-04-24,2.7783637
32,2015-06-24,2.8123121
33,2015-03-25,2.7864883
34,2015-02-26,2.7937236
35,2015-05-27,2.8029468
36,2015-01-28,2.550469
37,2015-04-28,2.8001933
38,2015-04-29,2.8165514
39,2015-06-30,2.828599
0,2022-10-03,4.2520757
1,2022-10-04,4.2407546
2,2022-10-10,4.3925
3,2022-10-11,4.3719444
4,2022-10-13,4.4655266
5,2022-10-17,4.38125
6,2022-10-18,4.34283
7,2022-10-24,4.4194646
8,2022-10-25,4.3979244
9,2022-10-31,4.4585714
0,2022-11-01,4.4728127
1,2022-11-03,4.613333
2,2022-11-07,4.506964
3,2022-11-08,4.471346
4,2022-11-14,4.5567856
5,2022-11-15,4.5496225
6,2022-11-21,4.536415
7,2022-11-22,4.5235715
8,2022-11-28,4.546346
9,2022-11-29,4.5435715
10,2022-11-30,4.6566668
0,2022-07-06,5.707172
1,2022-07-07,5.5383334
2,2022-07-12,5.4404545
3,2022-07-13,5.359634
4,2022-07-19,5.31
5,2022-07-20,5.2690806
6,2022-07-26,5.2025
7,2022-07-27,5.055632
0,2022-08-02,4.91
1,2022-08-03,4.83625
2,2022-08-09,4.760667
3,2022-08-10,4.827857
4,2022-08-17,4.8024173
5,2022-08-18,4.69
6,2022-08-23,4.71
7,2022-08-24,4.7017546
8,2022-08-30,4.5872726
9,2022-08-31,4.564458
0,2022-09-07,4.4142857
1,2022-09-08,4.3925
2,2022-09-26,4.2471156
3,2022-09-27,4.244821
0,2022-12-05,4.511064
1,2022-12-06,4.537627
2,2022-12-07,4.6566668
3,2022-12-12,4.5014
4,2022-12-13,4.5368423
5,2022-12-14,4.556667
6,2022-12-19,4.499615
7,2022-12-20,4.4878945
8,2022-12-21,4.516667
9,2022-12-26,4.454694
10,2022-12-27,4.472549
11,2022-12-28,4.69
0,2014-04-01,2.5466347
1,2014-04-02,2.5461
2,2014-03-03,2.4950616
3,2014-02-04,2.4810855
4,2014-03-04,2.2556665
5,2014-03-05,2.5823333
6,2014-01-06,2.476244
7,2014-04-07,2.5107546
8,2014-04-08,2.554855
9,2014-04-09,2.5962667
10,2014-03-10,2.548878
11,2014-02-11,2.462713
12,2014-03-11,2.4967756
13,2014-03-12,2.453
14,2014-01-13,2.4803522
15,2014-04-14,2.424
16,2014-04-15,2.5190768
17,2014-04-16,2.5376995
18,2014-03-17,2.5012813
19,2014-02-18,2.4716864
20,2014-03-18,2.5446515
21,2014-03-19,2.5584762
22,2014-01-20,2.4802752
23,2014-04-22,2.5368414
24,2014-04-23,2.5803075
25,2014-02-24,2.4731538
26,2014-03-24,2.518923
27,2014-02-25,2.5055385
28,2014-03-25,2.5844445
29,2014-02-26,2.4672856
30,2014-03-26,2.5414867
31,2014-01-28,2.4813306
32,2014-04-28,2.5417023
33,2014-04-29,2.58825
34,2014-03-31,2.5082307
